RB,MARKER,RMS,X-G,Y-G,Z-G,V,lat,lon
1,D-RED,0.995957169,0.22360237,0.8748188,0.42026745,30.21,43.88143,20.35194
2,D-BLUE,1.016577793,0.21749638,0.39692283,0.9102626,29.3,43.88079,20.35175
3,D-GREEN,1.869963842,1.586918,0.8641373,0.4813759,59.72,43.88062,20.35165
4,D-RED,1.10666423,-0.39471564,0.986918,0.308055422,39.63,43.88187,20.3499
5,D-RED,1.399293907,-0.10472047,1.3474625,0.36249396,38.3,43.88278,20.35047
6,L-RED,2.151652111,0.10472047,-1.8630095,1.0713711,37.22,43.88323,20.3507
7,L-RED,0.994151371,-0.40472047,-0.87747704,0.23360722,2.62,43.88482,20.3517
8,D-RED,1.026500973,-0.24971806,0.7191397,0.688609636,29.28,43.88566,20.35214
9,D-RED,1.279562376,-0.23360722,1.25803126,0.008055422,4.89,43.88581,20.35182
10,D-RED,2.121969951,0.52360237,2.0563395,-0.008055422,27.5,43.88596,20.35135
11,D-BLUE,1.510750081,1.0391494,0.73525053,0.81359756,10.04,43.88617,20.3506
12,D-RED,1.80594511,0.47526985,1.4441276,0.974706,49.14,43.88617,20.35052
13,L-BLUE,0.993407201,0.28193974,0.50969875,-0.80472047,27.72,43.88555,20.3502
14,L-RED,1.067897299,-0.18527469,-0.993024,0.34638312,34.16,43.88569,20.34888
15,D-RED,0.988074924,-0.10472047,0.97691315,-0.10472047,31.17,43.88608,20.34774
16,D-GREEN,1.071409496,-0.95638795,0.47747704,-0.07249879,39.07,43.88625,20.34726
17,L-RED,1.28569169,-0.72083132,0.89969875,0.56916385,8.67,43.88637,20.34687
18,D-RED,0.947886139,-0.27249879,0.8480264,0.324166264,29.19,43.88657,20.34625
19,L-RED,1.002276977,0.3786048,-0.9124698,0.16916385,25.2,43.88706,20.34448
20,L-GREEN,2.375677255,-2.295795,0.5419204,-0.28193974,28.9,43.88714,20.34421
21,L-BLUE,1.082082139,0.29805058,0.47747704,-0.924166264,32.5,43.88793,20.34318
22,L-BLUE,1.280017725,-1.0230385,0.686918,0.34638312,40.17,43.88886,20.3434
23,D-RED,1.415832152,0.088609636,1.41303366,0.008055422,55.54,43.89017,20.34432
